"File","Line","FunctionName","CurrentName","Message","Severity"
".\tools\NSXConfigSync.ps1","1631","to","","The cmdlet 'Get-ImportResourceTypes' uses a plural noun. A singular noun should be used instead.","Warning"
".\tools\NSXConfigSync.ps1","1858","to","","The cmdlet 'Filter-ConfigurationByResourceTypes' uses a plural noun. A singular noun should be used instead.","Warning"
".\tools\NSXConnectionDiagnostics.ps1","344","Test-StoredCredentials","","The cmdlet 'Test-StoredCredentials' uses a plural noun. A singular noun should be used instead.","Warning"
".\tools\NSXConnectionDiagnostics.ps1","447","Repair-Credentials","","The cmdlet 'Repair-Credentials' uses a plural noun. A singular noun should be used instead.","Warning"
".\tools\NSXConnectionDiagnostics.ps1","503","Start-ComprehensiveDiagnostics","","The cmdlet 'Start-ComprehensiveDiagnostics' uses a plural noun. A singular noun should be used instead.","Warning"
".\tools\NSXConnectionTest.ps1","640","Get-NSXEndpointDefinitions","","The cmdlet 'Get-NSXEndpointDefinitions' uses a plural noun. A singular noun should be used instead.","Warning"
".\tools\NSXConnectionTest.ps1","696","Get-ComprehensiveNSXEndpoints","","The cmdlet 'Get-ComprehensiveNSXEndpoints' uses a plural noun. A singular noun should be used instead.","Warning"
".\tools\NSXConnectionTest.ps1","1419","Save-ValidatedEndpointsForTools","","The cmdlet 'Save-ValidatedEndpointsForTools' uses a plural noun. A singular noun should be used instead.","Warning"
".\tools\NSXConnectionTest.ps1","2228","Assert-NSXToolkitPrerequisites","","The cmdlet 'Assert-NSXToolkitPrerequisites' uses a plural noun. A singular noun should be used instead.","Warning"
".\tools\NSXCredentialManager.ps1","206","Show-StoredCredentials","","The cmdlet 'Show-StoredCredentials' uses a plural noun. A singular noun should be used instead.","Warning"
".\tools\VerifyNSXConfiguration.ps1","526","Test-ConfigurationFiles","","The cmdlet 'Test-ConfigurationFiles' uses a plural noun. A singular noun should be used instead.","Warning"
